ID,DATE,TIME,company_name,job_title,job_location,company_link
17,2024-05-21,12:35:16,"MAK Technologies, LLC",SAP BW/BI Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10519203?companyname=MAK%20Technologies%2C%20LLC
18,2024-05-21,12:35:16,"Motion Recruitment Partners, LLC",Senior Frontend Developer (Angular),"Toronto, Ontario, Canada",https://www.dice.com/company/10105282?companyname=Motion%20Recruitment%20Partners%2C%20LLC
19,2024-05-21,12:35:16,Skysoft Inc,"Hiring:: Senior ServiceNow Developer :: Toronto, Canada","Toronto, Ontario, Canada",https://www.dice.com/company/91131645?companyname=Skysoft%20Inc
20,2024-05-21,12:35:16,Nityo Infotech Corporation,Java Spark Developer,"Mississauga, Ontario, Canada",https://www.dice.com/company/10200946b?companyname=Nityo%20Infotech%20Corporation
21,2024-05-21,12:35:16,"Lorven Technologies, Inc.",Android Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10120137?companyname=Lorven%20Technologies%2C%20Inc.
22,2024-05-21,12:35:16,Synkriom,Sr. On Base Developer,"Remote or Halifax, Nova Scotia, Canada",https://www.dice.com/company/90944144?companyname=Synkriom
23,2024-05-21,12:35:16,Hirekeyz,Oracle DBA,"Montreal, Quebec, Canada",https://www.dice.com/company/91141616?companyname=Hirekeyz
24,2024-05-21,12:35:16,SPECTRAFORCE TECHNOLOGIES Inc.,"Vulnerability Management Specialist - Local to Montral, Qubec","Montreal, Quebec, Canada",https://www.dice.com/company/10119021?companyname=SPECTRAFORCE%20TECHNOLOGIES%20Inc.
25,2024-05-21,12:35:16,TECH Tammina,Senior React.js Developer,"AB, CA",https://www.dice.com/company/10195172?companyname=TECH%20Tammina
26,2024-05-21,12:35:16,Atlantis IT Consulting Group LLC,ServiceNow Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/91113681?companyname=Atlantis%20IT%20Consulting%20Group%20LLC
27,2024-05-21,12:35:16,Collabera LLC,Junior Full Stack Developer,"Vancouver, British Columbia, Canada",https://www.dice.com/company/91127026?companyname=Collabera%20LLC
28,2024-05-21,12:35:16,PamTen Inc,Sr UI Developer / Lead,"Toronto, Ontario, Canada",https://www.dice.com/company/10457941?companyname=PamTen%20Inc
29,2024-05-21,12:35:16,Indotronix International Corp,Angular UI Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/indony?companyname=Indotronix%20International%20Corp
30,2024-05-21,12:35:16,LTIMindtree,React developer,"Toronto, Ontario, Canada",https://www.dice.com/company/10207105?companyname=LTIMindtree
31,2024-05-21,12:35:16,DBA Web Technologies,"DB2 Developer (IBM DB2, Database Maintenance, Performance Optimization, Python, Data Modeling) in Montreal, Canada (hybrid)","Montreal, Quebec, Canada",https://www.dice.com/company/10216777?companyname=DBA%20Web%20Technologies
32,2024-05-21,12:35:16,Ampstek LLC,Java Developer,"Cambridge, Ontario, Canada",https://www.dice.com/company/90971001?companyname=Ampstek%20LLC
33,2024-05-21,12:35:16,"Next Level Business Services, Inc.",Gen Al Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/10360765?companyname=Next%20Level%20Business%20Services%2C%20Inc.
34,2024-05-21,12:35:16,Luxoft USA Inc,Senior Java Developer,"Toronto, Ontario, Canada",https://www.dice.com/company/newageny?companyname=Luxoft%20USA%20Inc
35,2024-05-21,12:35:16,"Capgemini America, Inc.",Scala Developer,"Québec City, Quebec, Canada",https://www.dice.com/company/KANBAY?companyname=Capgemini%20America%2C%20Inc.
36,2024-05-21,12:35:16,"R Systems, Inc.",Golang Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/rsystems?companyname=R%20Systems%2C%20Inc.
37,2024-05-21,12:35:16,Apex 2000,Frontend Developer/Full Stack Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10121431?companyname=Apex%202000
