ID,DATE,TIME,company_name,job_title,job_location,company_link
17,2024-05-21,12:35:16,CIENA Corporation,Waveserver Software Developer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10293994?companyname=CIENA%20Corporation
18,2024-05-21,12:35:16,CIENA Corporation,Senior Information Developer - Technical Writer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10293994?companyname=CIENA%20Corporation
19,2024-05-21,12:35:16,CIENA Corporation,Senior Information Developer - Technical Writer,"Montreal, Quebec, Canada",https://www.dice.com/company/10293994?companyname=CIENA%20Corporation
20,2024-05-21,12:35:16,Net2Source Inc.,Full Stack Developer with Kotlin,"Vancouver, British Columbia, Canada",https://www.dice.com/company/10271304?companyname=Net2Source%20Inc.
21,2024-05-21,12:35:16,RedMane Technology LLC,Application Developer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10151331?companyname=RedMane%20Technology%20LLC
22,2024-05-21,12:35:16,Azaaki Solutions,"(For Canada Only) Full Stack, Front End, Back End Developer","Mississauga, Ontario, Canada",https://www.dice.com/company/91159823?companyname=Azaaki%20Solutions
23,2024-05-21,12:35:16,Emp IT Solutions,Software Developer - Mobile - Senior,"Toronto, Ontario, Canada",https://www.dice.com/company/91157085?companyname=Emp%20IT%20Solutions
24,2024-05-21,12:35:16,"V-Soft Consulting Group, Inc",Developer/Architect (Azure) - Re-Open,"Toronto, Ontario, Canada",https://www.dice.com/company/vsky001?companyname=V-Soft%20Consulting%20Group%2C%20Inc
25,2024-05-21,12:35:16,Emp IT Solutions,Software Developer - Full Stack - Senior,"Toronto, Ontario, Canada",https://www.dice.com/company/91157085?companyname=Emp%20IT%20Solutions
26,2024-05-21,12:35:16,Mason Frank,Salesforce Full Stack Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/10371697M?companyname=Mason%20Frank
27,2024-05-21,12:35:16,"NTT DATA Americas, Inc",SQL Developer - (Remote Role),"Remote or Vancouver, British Columbia, Canada",https://www.dice.com/company/CUEDATA?companyname=NTT%20DATA%20Americas%2C%20Inc
28,2024-05-21,12:35:16,Cynet Systems,Java Spring Boot Developer,"Mississauga, Ontario, Canada",https://www.dice.com/company/10516350?companyname=Cynet%20Systems
29,2024-05-21,12:35:16,Cynet Systems,Senior Java Full Stack Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/10516350?companyname=Cynet%20Systems
30,2024-05-21,12:35:16,Cynet Systems,Senior Java Developer - Banking,"Mississauga, Ontario, Canada",https://www.dice.com/company/10516350?companyname=Cynet%20Systems
31,2024-05-21,12:35:16,Xoriant Corporation,UI Developer / React JS Developer / Full stack Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/xorca001?companyname=Xoriant%20Corporation
32,2024-05-21,12:35:16,Cynet Systems,Senior Backend Developer,"Brampton, Ontario, Canada",https://www.dice.com/company/10516350?companyname=Cynet%20Systems
33,2024-05-21,12:35:16,Cynet Systems,C# FullStack Developer,"Brampton, Ontario, Canada",https://www.dice.com/company/10516350?companyname=Cynet%20Systems
34,2024-05-21,12:35:16,"MAK Technologies, LLC",SAP BW/BI Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10519203?companyname=MAK%20Technologies%2C%20LLC
35,2024-05-21,12:35:16,"Motion Recruitment Partners, LLC",Senior Frontend Developer (Angular),"Toronto, Ontario, Canada",https://www.dice.com/company/10105282?companyname=Motion%20Recruitment%20Partners%2C%20LLC
36,2024-05-21,12:35:16,Skysoft Inc,"Hiring:: Senior ServiceNow Developer :: Toronto, Canada","Toronto, Ontario, Canada",https://www.dice.com/company/91131645?companyname=Skysoft%20Inc
37,2024-05-21,12:35:16,Nityo Infotech Corporation,Java Spark Developer,"Mississauga, Ontario, Canada",https://www.dice.com/company/10200946b?companyname=Nityo%20Infotech%20Corporation
38,2024-05-21,12:35:16,"Lorven Technologies, Inc.",Android Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10120137?companyname=Lorven%20Technologies%2C%20Inc.
39,2024-05-21,12:35:16,Net2Source Inc.,Android Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10271304?companyname=Net2Source%20Inc.
40,2024-05-21,12:35:16,Synkriom,Sr. On Base Developer,"Remote or Halifax, Nova Scotia, Canada",https://www.dice.com/company/90944144?companyname=Synkriom
41,2024-05-21,12:35:16,Net2Source Inc.,Software Developer,"New Brunswick, Canada",https://www.dice.com/company/10271304?companyname=Net2Source%20Inc.
42,2024-05-21,12:35:16,"Motion Recruitment Partners, LLC",Senior Ruby on Rails Developer,"Toronto, Ontario, Canada",https://www.dice.com/company/10105282?companyname=Motion%20Recruitment%20Partners%2C%20LLC
43,2024-05-21,12:35:16,Hirekeyz,Oracle DBA,"Montreal, Quebec, Canada",https://www.dice.com/company/91141616?companyname=Hirekeyz
44,2024-05-21,12:35:16,Emp IT Solutions,Web Coordinator,"Montreal, Quebec, Canada",https://www.dice.com/company/91157085?companyname=Emp%20IT%20Solutions
45,2024-05-21,12:35:16,Amiseq Inc.,Solutions Designer,"Toronto, Ontario, Canada",https://www.dice.com/company/90989446?companyname=Amiseq%20Inc.
46,2024-05-21,12:35:16,"Alltech Consulting Services, Inc.",Site Reliability Engineer,"Montreal, Quebec, Canada",https://www.dice.com/company/10114281?companyname=Alltech%20Consulting%20Services%2C%20Inc.
47,2024-05-21,12:35:16,CIENA Corporation,UI Software Engineer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10293994?companyname=CIENA%20Corporation
48,2024-05-21,12:35:16,CIENA Corporation,WaveLogic Software Designer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10293994?companyname=CIENA%20Corporation
49,2024-05-21,12:35:16,SPECTRAFORCE TECHNOLOGIES Inc.,"Vulnerability Management Specialist - Local to Montral, Qubec","Montreal, Quebec, Canada",https://www.dice.com/company/10119021?companyname=SPECTRAFORCE%20TECHNOLOGIES%20Inc.
50,2024-05-21,12:35:16,TECH Tammina,Senior React.js Developer,"AB, CA",https://www.dice.com/company/10195172?companyname=TECH%20Tammina
51,2024-05-21,12:35:16,Hirekeyz,Java Typescript/JavaScript Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/91141616?companyname=Hirekeyz
52,2024-05-21,12:35:16,TECH Tammina,Senior Ruby Developer,"AB, CA",https://www.dice.com/company/10195172?companyname=TECH%20Tammina
53,2024-05-21,12:35:16,Atlantis IT Consulting Group LLC,ServiceNow Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/91113681?companyname=Atlantis%20IT%20Consulting%20Group%20LLC
54,2024-05-21,12:35:16,Collabera LLC,Junior Full Stack Developer,"Vancouver, British Columbia, Canada",https://www.dice.com/company/91127026?companyname=Collabera%20LLC
55,2024-05-21,12:35:16,PamTen Inc,Sr UI Developer / Lead,"Toronto, Ontario, Canada",https://www.dice.com/company/10457941?companyname=PamTen%20Inc
56,2024-05-21,12:35:16,Indotronix International Corp,Angular UI Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/indony?companyname=Indotronix%20International%20Corp
57,2024-05-21,12:35:16,LTIMindtree,React developer,"Toronto, Ontario, Canada",https://www.dice.com/company/10207105?companyname=LTIMindtree
58,2024-05-21,12:35:16,DBA Web Technologies,"DB2 Developer (IBM DB2, Database Maintenance, Performance Optimization, Python, Data Modeling) in Montreal, Canada (hybrid)","Montreal, Quebec, Canada",https://www.dice.com/company/10216777?companyname=DBA%20Web%20Technologies
59,2024-05-21,12:35:16,Ampstek LLC,Java Developer,"Cambridge, Ontario, Canada",https://www.dice.com/company/90971001?companyname=Ampstek%20LLC
60,2024-05-21,12:35:16,Amiseq Inc.,Oracle Developer,"Toronto, Ontario, Canada",https://www.dice.com/company/90989446?companyname=Amiseq%20Inc.
61,2024-05-21,12:35:16,"Next Level Business Services, Inc.",Gen Al Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/10360765?companyname=Next%20Level%20Business%20Services%2C%20Inc.
62,2024-05-21,12:35:16,Luxoft USA Inc,Senior Java Developer,"Toronto, Ontario, Canada",https://www.dice.com/company/newageny?companyname=Luxoft%20USA%20Inc
63,2024-05-21,12:35:16,"Next Level Business Services, Inc.",Power Platform Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/10360765?companyname=Next%20Level%20Business%20Services%2C%20Inc.
64,2024-05-21,12:35:16,"NTT DATA Americas, Inc",.NET Developer,"Remote or Vancouver, British Columbia, Canada",https://www.dice.com/company/CUEDATA?companyname=NTT%20DATA%20Americas%2C%20Inc
65,2024-05-21,12:35:16,Amiseq Inc.,Senior Report Developer,"Toronto, Ontario, Canada",https://www.dice.com/company/90989446?companyname=Amiseq%20Inc.
66,2024-05-21,12:35:16,"Capgemini America, Inc.",Scala Developer,"Québec City, Quebec, Canada",https://www.dice.com/company/KANBAY?companyname=Capgemini%20America%2C%20Inc.
67,2024-05-21,12:35:16,"R Systems, Inc.",Golang Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/rsystems?companyname=R%20Systems%2C%20Inc.
68,2024-05-21,12:35:16,CIENA Corporation,PET Developer,"Remote or Saskatchewan, Canada",https://www.dice.com/company/10293994?companyname=CIENA%20Corporation
69,2024-05-21,12:35:16,Apex 2000,Frontend Developer/Full Stack Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10121431?companyname=Apex%202000
